1.660000	0
1.670000	20
1.650000	40
1.660000	60
1.670000	80
1.660000	100
1.640000	120
1.590000	140
1.580000	160
1.640000	180
1.710000	200
1.710000	220
1.640000	240
1.600000	260
1.660000	280
1.700000	300
1.670000	320
1.580000	340
1.590000	360
1.660000	380
1.710000	400
1.700000	420
1.630000	440
1.620000	460
1.650000	480
1.690000	500
1.660000	520
1.610000	540
1.610000	560
1.680000	580
1.720000	600
1.680000	620
1.600000	640
1.580000	660
1.650000	680
1.680000	700
1.620000	720
1.570000	740
1.610000	760
1.700000	780
1.700000	800
1.630000	820
1.590000	840
1.600000	860
1.640000	880
1.680000	900
1.680000	920
1.610000	940
1.600000	960
1.730000	980
1.700000	1000
1.500000	1020
1.540000	1040
1.680000	1060
1.630000	1080
1.630000	1100
1.710000	1120
1.640000	1140
1.610000	1160
1.650000	1180
1.650000	1200
1.650000	1220
1.720000	1240
1.720000	1260
1.570000	1280
1.480000	1300
1.540000	1320
1.710000	1340
1.770000	1360
1.700000	1380
1.570000	1400
1.550000	1420
1.600000	1440
1.670000	1460
1.690000	1480
1.630000	1500
1.640000	1520
1.730000	1540
1.720000	1560
1.610000	1580
